,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
25,13234407878,Afternoon Run,2024-12-31T15:25:07Z,Run,7099.8,2751,2751,0,[],garmin_ping_398254622836
26,13202388316,Lunch Run,2024-12-27T11:43:41Z,Run,7592.2,2932,2953,120.4,"[36.474037, -82.504587]",garmin_ping_397046938194
27,13152524444,Afternoon Run,2024-12-20T13:32:48Z,Run,15006.9,5818,6051,86.1,"[-36.99815, 174.787949]",garmin_ping_395071922063
28,13132095698,Afternoon Walk,2024-12-17T15:16:17Z,Walk,10380.1,8550,10367,536.7,"[-44.824346, 168.11787]",garmin_ping_394302815375
29,13125483926,Evening Walk,2024-12-16T18:44:30Z,Walk,1407.6,1489,1656,93.8,[],garmin_ping_394047393110
30,13125243522,Afternoon Walk,2024-12-16T13:05:42Z,Walk,7074.8,4495,5569,133.7,"[-43.47968, 169.998228]",garmin_ping_394023752424
31,13117865236,Lunch Walk,2024-12-15T11:39:55Z,Hike,7284.3,7812,12819,702.9,"[-41.190055, 172.746852]",garmin_ping_393757514469
32,13111144350,Afternoon Walk,2024-12-14T15:48:51Z,Hike,11375.6,10049,12641,881.8,"[-42.351036, 173.567965]",garmin_ping_393519194273
33,13088297153,Morning Run,2024-12-11T08:14:27Z,Run,5023.0,1984,2252,97.0,"[-36.848775, 174.770807]",garmin_ping_392640689921
34,13069821259,Evening Run,2024-12-08T19:44:59Z,Run,8080.2,3086,3310,165.4,"[-36.848613, 174.770541]",garmin_ping_391965493281
35,13036648925,Night Run,2024-12-03T21:23:18Z,Run,10111.7,3910,3916,138.0,"[-35.255689, 149.076633]",garmin_ping_390703096391
36,13020094368,Afternoon Run,2024-12-01T14:17:25Z,Run,8242.7,3119,3119,0,[],garmin_ping_390084627414
37,12986223632,Night Run,2024-11-26T21:21:07Z,Run,7706.0,3116,3145,108.3,"[-35.25593, 149.076787]",garmin_ping_388882539182
38,12963950206,Night Run,2024-11-23T21:21:44Z,Run,7870.8,3082,3251,109.1,"[-35.255631, 149.076619]",garmin_ping_388095500524
39,12957128091,Night Run,2024-11-22T21:04:38Z,Run,5350.7,2108,2137,69.2,"[-35.255927, 149.076704]",garmin_ping_387837506695
40,12942731227,Evening Run,2024-11-20T20:49:39Z,Run,7412.6,3054,3082,84.7,"[-35.255959, 149.076666]",garmin_ping_387312999627
41,12809765132,Afternoon Run,2024-11-03T14:46:34Z,Run,17012.1,7689,8144,196.3,"[-35.279407, 149.124165]",garmin_ping_382807346821
42,12753472107,Afternoon Run,2024-10-27T13:32:07Z,Run,2339.7,1015,1073,36.6,"[-35.25516618043184, 149.0763298049569]",garmin_ping_380936617165
43,12753409032,Lunch Run,2024-10-27T12:25:13Z,Run,10218.2,3506,3669,29.4,"[-35.2370950486511, 149.07168966718018]",garmin_ping_380934252314
44,12520226973,Lunch Run,2024-09-28T12:10:25Z,Run,12052.9,4559,8038,65.7,"[-35.23736000061035, 149.06711214222014]",garmin_ping_373469445715
45,12472585563,Afternoon Run,2024-09-22T15:15:52Z,Run,20110.4,7702,8391,189.6,"[-35.256436290219426, 149.0767275262624]",garmin_ping_371986091253
46,12381892462,Evening Run,2024-09-11T19:18:36Z,Run,5896.4,2321,2362,79.0,"[-35.25612322613597, 149.0770293585956]",garmin_ping_369247276691
47,12364609106,Afternoon Run,2024-09-09T17:29:21Z,Run,15874.3,6701,7442,251.1,"[-35.25481682270765, 149.07616702839732]",garmin_ping_368779330249
48,12346225741,Afternoon Run,2024-09-07T16:33:33Z,Run,6961.1,2969,3028,150.7,"[-35.25590529665351, 149.07676155678928]",garmin_ping_368300946086
49,12271972535,Evening Run,2024-08-29T20:49:25Z,Run,6104.0,2482,2497,67.4,"[-35.256085339933634, 149.07684872858226]",garmin_ping_366130448929
50,12253723291,Evening Run,2024-08-27T19:49:54Z,Run,5653.1,2532,2576,73.4,"[-35.25594058446586, 149.07667614519596]",garmin_ping_365616783775
51,12227662830,Evening Run,2024-08-24T18:01:22Z,Run,6750.2,2842,2878,32.0,"[-35.27806671336293, 149.12226506508887]",garmin_ping_364845884982
52,12176189121,Afternoon Run,2024-08-18T15:28:45Z,Run,13747.1,6742,6897,383.8,"[-35.27856, 149.116284]",garmin_ping_363340569070
53,12175472062,Lunch Swim,2024-08-18T12:26:44Z,Swim,1000.0,1666,2185,0,[],garmin_ping_363299195523
54,12133117859,Lunch Run,2024-08-13T12:11:12Z,Run,11726.4,5448,5548,293.7,"[-35.272814, 149.118414]",garmin_ping_362071580154
55,12107792743,Afternoon Run,2024-08-10T14:23:32Z,Run,6615.4,3085,3149,154.0,"[-35.255895, 149.076769]",garmin_ping_361336426268
56,11853415883,Evening Run,2024-07-10T20:51:26Z,Run,7495.8,3133,3227,39.9,"[-35.25533373467624, 149.0764344111085]",garmin_ping_353888160617
57,11827335253,Afternoon Run,2024-07-07T17:01:24Z,Run,10295.1,5129,5245,53.7,"[-35.23929781280458, 149.0645051188767]",garmin_ping_353127709426
58,11812368691,Afternoon Run,2024-07-05T17:03:01Z,Run,5340.3,2234,2264,29.7,"[-35.279033901169896, 149.12375696003437]",garmin_ping_352661028463
59,11796467540,Afternoon Run,2024-07-03T17:28:39Z,Run,7073.7,3022,3271,34.5,"[-35.275631519034505, 149.11906770430505]",garmin_ping_352198441653
60,11772673186,Afternoon Run,2024-06-30T17:30:37Z,Run,9252.3,4342,4732,83.0,"[-35.25604594498873, 149.07697680406272]",garmin_ping_351471890918
61,11764195323,Afternoon Ride,2024-06-29T14:26:57Z,Ride,36576.2,5606,5794,244.3,"[-35.25590873323381, 149.0767949167639]",garmin_ping_351205278665
62,11750269936,Evening Run,2024-06-27T18:04:30Z,Run,5162.8,1967,1976,32.4,"[-35.27524880133569, 149.12084290757775]",garmin_ping_350772857489
63,11733537432,Afternoon Run,2024-06-25T16:32:09Z,Run,8580.4,3702,3755,86.0,"[-35.275675440207124, 149.11813530139625]",garmin_ping_350291264441
64,11717014815,Afternoon Run,2024-06-23T16:18:10Z,Run,8026.0,3210,3413,51.0,"[-35.255418475717306, 149.07651144079864]",garmin_ping_349798740568
65,11654828134,Afternoon Ride,2024-06-15T13:00:08Z,Ride,28741.8,7211,9419,385.6,"[-35.31291112303734, 149.03270275332034]",garmin_ping_347899093688
66,11622558513,Morning Run,2024-06-11T07:20:44Z,Run,10244.9,4408,4487,59.9,"[-35.255870344117284, 149.0768171288073]",garmin_ping_346905907456
67,11608303393,Lunch Ride,2024-06-09T11:47:22Z,Ride,25265.7,7215,11228,406.0,"[-35.255908, 149.076666]",garmin_ping_346480340367
68,11599354161,Morning Run,2024-06-08T08:55:41Z,Run,9392.0,4062,5564,73.3,"[-35.25264725089073, 149.07060865312815]",garmin_ping_346212901090
69,11579285741,Night Workout,2024-06-05T22:12:28Z,Workout,0.0,1811,1811,0,[],garmin_ping_345616580944
70,11562379563,Evening Workout,2024-06-03T20:32:44Z,Workout,0.0,3710,3710,0,[],garmin_ping_345103271732
71,11552465159,Afternoon Ride,2024-06-02T14:05:45Z,Ride,16914.6,4989,6697,235.2,"[-35.255932, 149.076674]",garmin_ping_344806446445
